LOINC_NUM,COMPONENT,PROPERTY,CLASS,Flag
87290-3,Date of Social Security Number request,Date,SURVEY.CDC,"number, social security, date"
87297-8,Birth registration date,Date,SURVEY.CDC,date
87510-4,Date of retirement,Date,H&P.HX,date
87511-2,Combat zone &or hazardous duty work dates,DateRange,H&P.HX,date
87720-9,Postal code,Loc,ADMIN,postal
87721-7,County of residence,Loc,ADMIN.PATIENT.DEMOG,county
88030-2,Date quit smokeless tobacco,Date,H&P.HX,date
88062-5,Chemotherapy infusion stop date,Date,IO_IN.INFUS,date
88063-3,Chemotherapy infusion start date,Date,IO_IN.INFUS,date
88072-4,Dispatch center,ID,TRAUMA,identifier
88088-0,EMS transport destination name,ID,H&P.HX,"name, identifier"
88298-5,Date of last attempted gradual dose reduction,Date,SURVEY.CMS,date
88300-9,Date physician documented GDR as clinically contraindicated,Date,SURVEY.CMS,date
88374-4,Chemotherapy infusion start & stop date and time panel,-,PANEL.IO,date
89008-7,Station name,ID,TRAUMA,"name, identifier"
89010-3,EMS physician name,Pn,TRAUMA,name
89011-1,EMS assistant name,Pn,TRAUMA,name
89058-2,Email address,EmailAddr,ADMIN,"address, email"
89060-8,Phone number,Tele,ADMIN,"number, phone"
89068-1,Date aspirin discontinued,Date,H&P.HX,date
89202-6,County,Loc,ADMIN.FACILITY,county
89550-8,Middle name,Pn,ADMIN,name
89601-9,Proof of encounter certificate,Find,DOC.ONTOLOGY,certificate
90052-2,Address,Addr,ADMIN,address
90053-0,Phone number,Tele,ADMIN,"number, phone"
90054-8,Email address,EmailAddr,ADMIN,"address, email"
90057-1,Contact name,Pn,ADMIN,name
90946-5,Date of laboratory phone call to provider to communicate test result,Date,ADMIN.PATIENT,"phone, date"
91008-3,Date and time of deaths assessment,TmStp,PUBLICHEALTH,date
91022-4,Date and time of risk assessment,TmStp,PUBLICHEALTH,date
91103-2,Date next report due,TmStp,DOC.MISC,date
91381-4,Date medication started,Date,MEDS,date
91382-2,Date medication stopped,Date,MEDS,date
91559-5,Date of arrival at travel destination,Date,H&P.HX,date
91560-3,Date of departure from travel destination,Date,H&P.HX,date
91583-5,Date and time of public health emergency,TmStp,ADMIN,date
91584-3,Date and time rumor record was released,TmStp,PUBLICHEALTH,date
91696-5,Response team name,ID,ADMIN,name
91697-3,Name,Pn,ADMIN,name
91702-1,Shelter name,ID,ADMIN.FACILITY,"name, identifier"
91703-9,Shelter address,Addr,ADMIN.FACILITY,address
91714-6,Date of interview,Date,ADMIN,date
91877-1,Date and time report was received,TmStp,DOC.MISC,date
91880-5,Date and time of risk assessment meeting,TmStp,ADMIN,date
91892-0,Address,Addr,ADMIN,address
91893-8,Email address,EmailAddr,ADMIN,"address, email"
91894-6,Phone number,Tele,ADMIN,"number, phone"
92009-0,Birth date,Date,ADMIN,date
92028-0,Supervisor name,Pn,ADMIN,name
92029-8,Supervisor email address,EmailAddr,ADMIN,"address, email"
92030-6,Supervisor address,Addr,ADMIN,address
92032-2,Supervisor phone number,Tele,ADMIN,"number, phone"
92045-4,Name,Pn,ADMIN,name
93275-6,Date of most lethal suicide attempt,Date,SURVEY.CSSRS,date
93301-0,Date of initial or first suicide attempt,Date,SURVEY.CSSRS,date
93302-8,Date of most recent suicide attempt,Date,SURVEY.CSSRS,date
93857-1,Date and time of obstetric delivery,TmStp,OBGYN,date
94130-2,Body disposition facility name,ID,ADMIN.FACILITY,"name, identifier"
94132-8,Funeral facility name,ID,ADMIN.FACILITY,"name, identifier"
94135-1,Funeral service licensee identifier,ID,ADMIN.FACILITY,"identifier, license"
94459-5,Date treatment prescribed,Date,H&P.HX,date
94648-3,Date of case confirmation,Date,PUBLICHEALTH,date
94652-5,Known exposure date,Date,H&P.HX,date
94664-0,Anticipated discharge date,Date,H&P.HX,date
95366-1,Date of first positive specimen collection,Date,SPEC,date
95367-9,Intensive care unit admission date,Date,H&P.HX,date
95368-7,Intensive care unit discharge date,Date,H&P.HX,date
95382-8,Date and time of symptom resolution,TmStp,CLIN,date
95386-9,Date and time of most recent contact with confirmed case,Date,H&P.PX,date
95727-4,Name,Pn,ADMIN,name
95728-2,Address,Addr,ADMIN,address
95730-8,Surviving spouse name,Pn,ADMIN,name
95731-6,Maiden name,Pn,ADMIN,name
95884-3,Data collected,Date,PUBLICHEALTH,date
95895-9,Start date,Date,PUBLICHEALTH,date
96676-2,Employer phone number,Tele,ADMIN.PATIENT,"number, phone"
96677-0,Address,Addr,ADMIN,address
97499-8,Proof of COVID-19 recovery certificate,Find,DOC.ADMIN,certificate
97500-3,Proof of COVID-19 immunization or negative status certificate,Find,DOC.ADMIN,certificate
97845-2,Name panel,-,PANEL.ADMIN,name
97846-0,Name use,Find,ADMIN,name
97847-8,Last name,Pn,ADMIN,name
97848-6,First name,Pn,ADMIN,name
97849-4,Name prefix,Pn,ADMIN,name
97850-2,Name suffix,Pn,ADMIN,name
9851-7,Vendor serial number,ID,DEVICES,number
9854-1,Vendor serial number,ID,DEVICES,number
9858-2,Vendor serial number,ID,DEVICES,number
9865-7,Vendor serial number,ID,DEVICES,number
99350-1,Date of first infection onset,Date,SURVEY.COVID,date
99951-6,Postal code,Loc,ADMIN,postal
